
2023/07/17 (13:14:27) | ===> btop++ v.1.2.13
2023/07/17 (13:14:27) | ERROR: Stall in Runner thread, restarting!

2023/09/15 (17:48:11) | ===> btop++ v.1.2.13
2023/09/15 (17:48:11) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/12/19 (15:50:38) | ===> btop++ v.1.2.13
2023/12/19 (15:50:52) | ERROR: Stall in Runner thread, restarting!
2023/12/19 (15:52:58) | ERROR: Stall in Runner thread, restarting!
2023/12/19 (15:54:43) | ERROR: Stall in Runner thread, restarting!
2023/12/19 (15:56:48) | ERROR: Stall in Runner thread, restarting!

2023/12/26 (18:57:45) | ===> btop++ v.1.2.13
2023/12/26 (18:58:01) | ERROR: Stall in Runner thread, restarting!
2023/12/26 (18:59:58) | ERROR: Stall in Runner thread, restarting!
2023/12/26 (19:01:15) | ERROR: Stall in Runner thread, restarting!

2024/01/06 (15:40:51) | ===> btop++ v.1.2.13
2024/01/06 (15:40:51) | ERROR: Stall in Runner thread, restarting!
2024/01/06 (15:41:04) | ERROR: Stall in Runner thread, restarting!

2024/08/06 (20:11:29) | ===> btop++ v.1.3.2
2024/08/06 (20:11:29) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
